id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,fiscal_year,sort_order,is_ttm,equity,debt_to_equity,equity_ratio
776,INDUSINDBK,Mar 2019,603.0,26083,242189,8944,277819,1688,22,59266,216843,277819,2019,201904,False,26686.0,9.075507756876265,0.09605534538674461
777,INDUSINDBK,Mar 2020,694.0,34013,262793,9558,307058,1742,78,59980,245257,307058,2020,202004,False,34707.0,7.57175785864523,0.11303076291775495
778,INDUSINDBK,Mar 2021,773.0,42592,307528,12080,362973,1734,75,69695,291469,362973,2021,202104,False,43365.0,7.091617664014758,0.11947169624186924
779,INDUSINDBK,Mar 2022,775.0,46923,341005,13273,401975,1754,95,70971,329155,401975,2022,202204,False,47698.0,7.149251540945113,0.11865912059207662
780,INDUSINDBK,Mar 2023,776.0,53846,385449,17733,457804,1857,135,83116,372695,457804,2023,202304,False,54622.0,7.056662150781737,0.11931306847471844
781,INDUSINDBK,Mar 2024,778.0,62019,432404,19734,514935,2001,197,106527,406211,514935,2024,202404,False,62797.0,6.885742949503957,0.1219513142435453
782,INFY,Mar 2013,286.0,37708,0,8281,46275,7139,1140,2116,35880,46275,2013,201304,False,37994.0,0.0,0.8210480821177741
783,INFY,Mar 2014,286.0,44244,0,12436,56966,8378,961,4331,43296,56966,2014,201404,False,44530.0,0.0,0.7816943439946635
784,INFY,Mar 2015,572.0,50164,0,15553,66289,11346,776,2270,51897,66289,2015,201504,False,50736.0,0.0,0.765375854214123
785,INFY,Mar 2016,1144.0,60600,0,13354,75098,13386,960,1892,58860,75098,2016,201604,False,61744.0,0.0,0.8221790194146316
786,INFY,Mar 2017,1144.0,67838,0,14166,83148,14179,1365,16423,51181,83148,2017,201704,False,68982.0,0.0,0.8296290951075191
787,INFY,Mar 2018,1088.0,63835,0,14426,79349,12574,1606,12163,53006,79349,2018,201804,False,64923.0,0.0,0.8181955664217571
788,INFY,Mar 2019,2170.0,62778,0,19118,84066,15710,1388,11261,55707,84066,2019,201904,False,64948.0,0.0,0.7725834463397806
789,INFY,Mar 2020,2122.0,63328,4633,21717,91800,23789,954,8792,58265,91800,2020,202004,False,65450.0,0.0707868601986249,0.7129629629629629
790,INFY,Mar 2021,2124.0,74227,5325,25835,107511,25505,922,14205,66879,107511,2021,202104,False,76351.0,0.06974368377624393,0.7101691919896569
791,INFY,Mar 2022,2098.0,73252,5474,35905,116729,25800,416,20324,70189,116729,2022,202204,False,75350.0,0.07264764432647644,0.6455122548809636
792,INFY,Mar 2023,2069.0,73338,8299,40890,124596,29225,288,19478,75605,124596,2023,202304,False,75407.0,0.11005609558794277,0.6052120453305082
793,INFY,Mar 2024,2071.0,86045,8359,39545,136020,27622,293,24623,83482,136020,2024,202404,False,88116.0,0.09486358890553362,0.6478164975738862
794,INFY,Sep 2024,2072.0,88391,8804,42603,141870,31917,505,17394,92054,141870,2024,202410,False,90463.0,0.09732155687960824,0.637647141749489
795,IOC,Mar 2013,2428.0,60609,89671,89170,241878,66774,27240,17351,130514,241878,2013,201304,False,63037.0,1.422513761758967,0.26061485542298185
796,IOC,Mar 2014,2428.0,65485,94916,103124,265953,72554,38061,15895,139443,265953,2014,201404,False,67913.0,1.39761165019952,0.2553571495715408
797,IOC,Mar 2015,2428.0,66404,64893,100158,233883,76781,40378,16069,100655,233883,2015,201504,False,68832.0,0.942773709902371,0.29430099665217224
798,IOC,Mar 2016,2370.0,87610,58552,83184,231715,100033,26219,31185,74278,231715,2016,201604,False,89980.0,0.6507223827517226,0.38832186090671733
799,IOC,Mar 2017,4739.0,97357,63271,108352,273719,115958,16778,43687,97295,273719,2017,201704,False,102096.0,0.6197206550697383,0.3729956634358594
